Frame; Time (ms); Time (s); Delta
221;1875,76;1,88;8,17
222;1884,02;1,88;8,26
223;1892,78;1,89;8,76
224;1901,42;1,9;8,64
225;1909,86;1,91;8,44
226;1918,37;1,92;8,51
227;1926,88;1,93;8,51
228;1935,45;1,94;8,57
229;1944,83;1,94;9,38
230;1953,66;1,95;8,83
231;1962,06;1,96;8,4
232;1970,28;1,97;8,22
233;1978,71;1,98;8,43
234;1987,27;1,99;8,56
235;1995,75;2;8,48
236;2003,99;2;8,24
237;2012,68;2,01;8,69
238;2021,91;2,02;9,23
239;2030,21;2,03;8,3
240;2038,52;2,04;8,31
241;2046,84;2,05;8,32
242;2055,21;2,06;8,37
243;2063,58;2,06;8,37
244;2072,15;2,07;8,57
245;2080,71;2,08;8,56
246;2089,32;2,09;8,61
247;2097,66;2,1;8,34
248;2106,48;2,11;8,82
249;2114,95;2,11;8,47
250;2123,28;2,12;8,33
251;2131,94;2,13;8,66
252;2140,47;2,14;8,53
253;2148,89;2,15;8,42
254;2158,07;2,16;9,18
255;2166,72;2,17;8,65
256;2176,38;2,18;9,66
257;2185,14;2,19;8,76
258;2193,74;2,19;8,6
259;2202,12;2,2;8,38
260;2214,16;2,21;12,04
261;2223,65;2,22;9,49
262;2232,13;2,23;8,48
263;2240,66;2,24;8,53
264;2249,13;2,25;8,47
265;2257,4;2,26;8,27
266;2265,66;2,27;8,26
267;2274,01;2,27;8,35
268;2282,43;2,28;8,42
269;2291,4;2,29;8,97
270;2299,59;2,3;8,19
271;2307,81;2,31;8,22
272;2316,13;2,32;8,32
273;2324,46;2,32;8,33
274;2332,94;2,33;8,48
275;2341,15;2,34;8,21
276;2349,72;2,35;8,57
277;2358,92;2,36;9,2
278;2367,49;2,37;8,57
279;2376,27;2,38;8,78
280;2384,61;2,38;8,34
281;2392,85;2,39;8,24
282;2401,47;2,4;8,62
283;2409,69;2,41;8,22
284;2417,93;2,42;8,24
285;2427,06;2,43;9,13
286;2435,44;2,44;8,38
287;2443,78;2,44;8,34
288;2452,3;2,45;8,52
289;2461,02;2,46;8,72
290;2469,36;2,47;8,34
291;2478,05;2,48;8,69
292;2486,47;2,49;8,42
293;2494,68;2,49;8,21
294;2502,92;2,5;8,24
295;2511,38;2,51;8,46
296;2519,84;2,52;8,46
297;2528,51;2,53;8,67
298;2537,01;2,54;8,5
299;2545,47;2,55;8,46
300;2554;2,55;8,53
301;2562,23;2,56;8,23
302;2570,45;2,57;8,22
303;2578,9;2,58;8,45
304;2587,4;2,59;8,5
305;2595,85;2,6;8,45
306;2604,08;2,6;8,23
307;2612,52;2,61;8,44
308;2620,73;2,62;8,21
309;2629,16;2,63;8,43
310;2637,26;2,64;8,1
311;2645,64;2,65;8,38
312;2653,92;2,65;8,28
313;2662,82;2,66;8,9
314;2670,92;2,67;8,1
315;2679,13;2,68;8,21
316;2687,27;2,69;8,14
317;2695,43;2,7;8,16
318;2704;2,7;8,57
319;2712,25;2,71;8,25
320;2720,57;2,72;8,32
321;2728,98;2,73;8,41
322;2737,68;2,74;8,7
323;2745,97;2,75;8,29
324;2754,81;2,75;8,84
325;2763,04;2,76;8,23
326;2771,38;2,77;8,34
327;2780,33;2,78;8,95
328;2788,42;2,79;8,09
329;2796,7;2,8;8,28
330;2805,09;2,81;8,39
331;2813,12;2,81;8,03
332;2821,35;2,82;8,23
333;2829,52;2,83;8,17
334;2837,58;2,84;8,06
335;2845,89;2,85;8,31
336;2854,02;2,85;8,13
337;2862,14;2,86;8,12
338;2870,13;2,87;7,99
339;2878,17;2,88;8,04
340;2887,04;2,89;8,87
341;2895,27;2,9;8,23
342;2903,43;2,9;8,16
343;2911,65;2,91;8,22
344;2919,77;2,92;8,12
345;2928,44;2,93;8,67
346;2936,53;2,94;8,09
347;2944,75;2,94;8,22
348;2953,2;2,95;8,45
349;2961,61;2,96;8,41
350;2969,81;2,97;8,2
351;2978,17;2,98;8,36
352;2986,49;2,99;8,32
353;2994,62;2,99;8,13
354;3002,68;3;8,06
355;3011,99;3,01;9,31
356;3020,16;3,02;8,17
357;3029,11;3,03;8,95
358;3037,99;3,04;8,88
359;3045,99;3,05;8
360;3054,04;3,05;8,05
361;3062,17;3,06;8,13
362;3070,15;3,07;7,98
363;3078,23;3,08;8,08
364;3086,54;3,09;8,31
365;3094,78;3,09;8,24
366;3102,87;3,1;8,09
367;3111;3,11;8,13
368;3118,94;3,12;7,94
369;3126,89;3,13;7,95
370;3135,06;3,14;8,17
371;3144,02;3,14;8,96
372;3152,01;3,15;7,99
373;3160,06;3,16;8,05
374;3168,37;3,17;8,31
375;3176,34;3,18;7,97
376;3184,37;3,18;8,03
377;3193,07;3,19;8,7
378;3201,15;3,2;8,08
379;3209,14;3,21;7,99
380;3217,41;3,22;8,27
381;3225,35;3,23;7,94
382;3234,94;3,23;9,59
383;3243;3,24;8,06
384;3251,2;3,25;8,2
385;3259,19;3,26;7,99
386;3267,56;3,27;8,37
387;3275,65;3,28;8,09
388;3283,84;3,28;8,19
389;3291,98;3,29;8,14
390;3300,48;3,3;8,5
391;3308,54;3,31;8,06
392;3316,56;3,32;8,02
393;3324,38;3,32;7,82
394;3332,61;3,33;8,23
395;3340,62;3,34;8,01
396;3348,52;3,35;7,9
397;3356,43;3,36;7,91
398;3364,32;3,36;7,89
399;3372,6;3,37;8,28
400;3380,76;3,38;8,16
401;3388,84;3,39;8,08
402;3397,1;3,4;8,26
403;3405,28;3,41;8,18
404;3413,8;3,41;8,52
405;3421,8;3,42;8
406;3430,18;3,43;8,38
407;3438,48;3,44;8,3
408;3446,5;3,45;8,02
409;3454,45;3,45;7,95
410;3462,43;3,46;7,98
411;3470,54;3,47;8,11
412;3478,52;3,48;7,98
413;3486,48;3,49;7,96
414;3495,04;3,5;8,56
415;3503,36;3,5;8,32
416;3511,96;3,51;8,6
417;3520,12;3,52;8,16
418;3528,37;3,53;8,25
419;3536,4;3,54;8,03
420;3544,55;3,54;8,15
421;3552,62;3,55;8,07
422;3560,56;3,56;7,94
423;3568,48;3,57;7,92
424;3576,4;3,58;7,92
425;3584,49;3,58;8,09
426;3592,54;3,59;8,05
427;3601,02;3,6;8,48
428;3609,94;3,61;8,92
429;3618,33;3,62;8,39
430;3626,5;3,63;8,17
431;3634,4;3,63;7,9
432;3642,98;3,64;8,58
433;3650,92;3,65;7,94
434;3659,63;3,66;8,71
435;3667,56;3,67;7,93
436;3675,46;3,68;7,9
437;3683,98;3,68;8,52
438;3692,06;3,69;8,08
439;3700,64;3,7;8,58
440;3708,72;3,71;8,08
441;3717,6;3,72;8,88
442;3725,64;3,73;8,04
443;3733,86;3,73;8,22
444;3742,34;3,74;8,48
445;3750,65;3,75;8,31
446;3758,71;3,76;8,06
447;3766,7;3,77;7,99
448;3774,92;3,77;8,22
449;3782,85;3,78;7,93
450;3790,78;3,79;7,93
451;3798,67;3,8;7,89
452;3806,54;3,81;7,87
453;3815;3,82;8,46
454;3823,06;3,82;8,06
455;3831,1;3,83;8,04
456;3839,07;3,84;7,97
457;3847,19;3,85;8,12
458;3855,22;3,86;8,03
459;3863,45;3,86;8,23
460;3871,27;3,87;7,82
461;3879,36;3,88;8,09
462;3887,19;3,89;7,83
463;3895,11;3,9;7,92
464;3902,92;3,9;7,81
465;3910,89;3,91;7,97
466;3918,84;3,92;7,95
467;3926,64;3,93;7,8
468;3934,62;3,93;7,98
469;3942,62;3,94;8
470;3950,66;3,95;8,04
471;3958,9;3,96;8,24
472;3967,12;3,97;8,22
473;3974,91;3,97;7,79
474;3982,98;3,98;8,07
475;3990,86;3,99;7,88
476;3999,32;4;8,46
477;4007,26;4,01;7,94
478;4015,26;4,02;8
479;4023,66;4,02;8,4
480;4032,04;4,03;8,38
481;4040,15;4,04;8,11
482;4048,56;4,05;8,41
483;4056,73;4,06;8,17
484;4065,06;4,07;8,33
485;4073,12;4,07;8,06
486;4081,26;4,08;8,14
487;4089,3;4,09;8,04
488;4097,47;4,1;8,17
489;4105,54;4,11;8,07
490;4113,52;4,11;7,98
491;4121,69;4,12;8,17
492;4129,97;4,13;8,28
493;4139,97;4,14;10
494;4151,42;4,15;11,45
495;4159,47;4,16;8,05
496;4167,53;4,17;8,06
497;4176,05;4,18;8,52
498;4184,05;4,18;8
499;4192,02;4,19;7,97
500;4200,28;4,2;8,26
501;4208,46;4,21;8,18
502;4216,7;4,22;8,24
503;4224,74;4,22;8,04
504;4233,17;4,23;8,43
505;4241,26;4,24;8,09
506;4249,27;4,25;8,01
507;4257,25;4,26;7,98
508;4265,4;4,27;8,15
509;4274,09;4,27;8,69
510;4282,4;4,28;8,31
511;4290,68;4,29;8,28
512;4298,59;4,3;7,91
513;4306,58;4,31;7,99
514;4314,46;4,31;7,88
515;4322,47;4,32;8,01
516;4330,38;4,33;7,91
517;4338,19;4,34;7,81
518;4346,15;4,35;7,96
519;4354,16;4,35;8,01
520;4362,14;4,36;7,98
521;4370,13;4,37;7,99
522;4378,58;4,38;8,45
523;4387,81;4,39;9,23
524;4395,92;4,4;8,11
525;4403,94;4,4;8,02
526;4411,97;4,41;8,03
527;4420,07;4,42;8,1
