Frame; Time (ms);Time (s);Delta
207;1751,896;1,751896;8,701
208;1760,597;1,760597;13,158
209;1773,755;1,773755;9,018
210;1782,773;1,782773;8,463
211;1791,236;1,791236;8,49
212;1799,726;1,799726;8,554
213;1808,28;1,80828;8,583
214;1816,863;1,816863;8,304
215;1825,167;1,825167;8,478
216;1833,645;1,833645;8,461
217;1842,106;1,842106;8,733
218;1850,839;1,850839;8,441
219;1859,28;1,85928;8,306
220;1867,586;1,867586;8,17
221;1875,756;1,875756;8,262
222;1884,018;1,884018;8,758
223;1892,776;1,892776;8,642
224;1901,418;1,901418;8,437
225;1909,855;1,909855;8,518
226;1918,373;1,918373;8,506
227;1926,879;1,926879;8,572
228;1935,451;1,935451;9,377
229;1944,828;1,944828;8,836
230;1953,664;1,953664;8,401
231;1962,065;1,962065;8,214
232;1970,279;1,970279;8,435
233;1978,714;1,978714;8,558
234;1987,272;1,987272;8,48
235;1995,752;1,995752;8,236
236;2003,988;2,003988;8,69
237;2012,678;2,012678;9,236
238;2021,914;2,021914;8,293
239;2030,207;2,030207;8,308
240;2038,515;2,038515;8,32
241;2046,835;2,046835;8,373
242;2055,208;2,055208;8,368
243;2063,576;2,063576;8,576
244;2072,152;2,072152;8,554
245;2080,706;2,080706;8,613
246;2089,319;2,089319;8,342
247;2097,661;2,097661;8,814
248;2106,475;2,106475;8,474
249;2114,949;2,114949;8,335
250;2123,284;2,123284;8,655
251;2131,939;2,131939;8,533
252;2140,472;2,140472;8,416
253;2148,888;2,148888;9,183
254;2158,071;2,158071;8,649
255;2166,72;2,16672;9,657
256;2176,377;2,176377;8,768
257;2185,145;2,185145;8,594
258;2193,739;2,193739;8,382
259;2202,121;2,202121;12,034
260;2214,155;2,214155;9,498
261;2223,653;2,223653;8,478
262;2232,131;2,232131;8,527
263;2240,658;2,240658;8,471
264;2249,129;2,249129;8,266
265;2257,395;2,257395;8,264
266;2265,659;2,265659;8,353
267;2274,012;2,274012;8,413
268;2282,425;2,282425;8,979
269;2291,404;2,291404;8,188
270;2299,592;2,299592;8,216
271;2307,808;2,307808;8,324
272;2316,132;2,316132;8,327
273;2324,459;2,324459;8,479
274;2332,938;2,332938;8,216
275;2341,154;2,341154;8,571
276;2349,725;2,349725;9,192
277;2358,917;2,358917;8,572
278;2367,489;2,367489;8,778
279;2376,267;2,376267;8,342
280;2384,609;2,384609;8,241
281;2392,85;2,39285;8,624
282;2401,474;2,401474;8,219
283;2409,693;2,409693;8,237
284;2417,93;2,41793;9,131
285;2427,061;2,427061;8,374
286;2435,435;2,435435;8,343
287;2443,778;2,443778;8,527
288;2452,305;2,452305;8,72
289;2461,025;2,461025;8,34
290;2469,365;2,469365;8,686
291;2478,051;2,478051;8,423
292;2486,474;2,486474;8,202
293;2494,676;2,494676;8,245
294;2502,921;2,502921;8,462
295;2511,383;2,511383;8,456
296;2519,839;2,519839;8,674
297;2528,513;2,528513;8,501
298;2537,014;2,537014;8,46
299;2545,474;2,545474;8,529
300;2554,003;2,554003;8,229
301;2562,232;2,562232;8,213
302;2570,445;2,570445;8,45
303;2578,895;2,578895;8,505
304;2587,4;2,5874;8,447
305;2595,847;2,595847;8,236
306;2604,083;2,604083;8,44
307;2612,523;2,612523;8,203
308;2620,726;2,620726;8,439
309;2629,165;2,629165;8,1
310;2637,265;2,637265;8,373
311;2645,638;2,645638;8,285
312;2653,923;2,653923;8,896
313;2662,819;2,662819;8,096
314;2670,915;2,670915;8,214
315;2679,129;2,679129;8,142
316;2687,271;2,687271;8,162
317;2695,433;2,695433;8,563
318;2703,996;2,703996;8,252
319;2712,248;2,712248;8,319
320;2720,567;2,720567;8,416
321;2728,983;2,728983;8,701
322;2737,684;2,737684;8,29
323;2745,974;2,745974;8,839
324;2754,813;2,754813;8,232
325;2763,045;2,763045;8,33
326;2771,375;2,771375;8,953
327;2780,328;2,780328;8,096
328;2788,424;2,788424;8,273
329;2796,697;2,796697;8,391
330;2805,088;2,805088;8,034
331;2813,122;2,813122;8,224
332;2821,346;2,821346;8,176
333;2829,522;2,829522;8,062
